id_hc,status_ordem_obra,dt_ordem_obra,tipo_pendencia_obra,status_atividade_obra,dt_atividade_obra
A00006ULP|8003H000000OXGXAA4,CANCELLED,2023-01-30 15:17:15+00:00,CLIENTE,Em Tramitação,2023-01-31 10:24:29
A00003XDZ|8003H000000N6ICAAC,CANCELLED,2022-10-11 20:24:25+00:00,CLIENTE,,
A0000788L|8003H000000NZD0AAG||00383777,CANCELLED,2022-11-17 13:25:33+00:00,CLIENTE,Em Tramitação,2023-02-25 09:20:36
A000079BV|8003H000000OSFLAAS||00528662,COMPLETED,2023-02-25 14:14:53+00:00,,Encerrado,2023-02-27 08:45:56
A00007673|8003H000000OPP8AAK||00522423,COMPLETED,2023-02-21 20:20:20+00:00,,Encerrado,2023-02-23 15:09:09
A000079IE|8003H000000OQUNAAK||00524780,COMPLETED,2023-02-23 10:06:08+00:00,,Encerrado,2023-02-24 09:50:41
A000073GI|8003H000000O3HYAAC||00437214,COMPLETED,2022-12-25 21:51:03+00:00,TECNICA,Encerrado,2023-01-27 11:37:16
A000072WD|8003H000000OO3ZAAC||00520424,COMPLETED,2023-02-19 17:55:35+00:00,,Encerrado,2023-02-20 13:53:50
A00006SN6|8003H000000OEA5AAC,COMPLETED,2023-02-08 08:22:05+00:00,,Encerrado,2023-10-02 11:19:25
A000070T5|8003H000000OL05AAC,CANCELLED,2023-02-15 12:47:03+00:00,CLIENTE,Em Tramitação,2023-02-17 11:16:50
A00006SUT|8003H000000NX0ZAAS,COMPLETED,2023-01-11 15:29:29+00:00,TECNICA,Encerrado,2023-11-01 15:29:33
A000074LX|2545||19985448065,COMPLETED,2023-02-21 19:06:33+00:00,,Encerrado,2023-02-22 13:40:15
A000078F6|8003H000000ORXJAA0||00526854,COMPLETED,2023-02-24 09:41:37+00:00,,Encerrado,2023-02-25 11:28:16
A000072OZ|8003H000000OKKIAA0||00513852,COMPLETED,2023-02-14 17:52:10+00:00,CLIENTE,Encerrado,2023-02-20 11:11:48
A0000788F|202302241566185||75515,COMPLETED,2023-02-24 17:53:05+00:00,,Encerrado,2023-02-25 09:14:46
A000077QP|8003H000000ORXNAAK||00526862,COMPLETED,2023-02-24 09:44:58+00:00,,Encerrado,2023-02-24 16:19:09
A000074C2|09098619||72767,COMPLETED,2023-02-17 14:50:55+00:00,,Encerrado,2023-02-22 11:23:34
A000078D0|8003H000000OQ7FAAS||00522838,COMPLETED,2023-02-22 17:13:00+00:00,,Encerrado,2023-02-25 10:51:57
A000076WB|8003H000000OBRWAAC||00498862,COMPLETED,2023-02-04 18:18:38+00:00,TECNICA,Encerrado,2023-02-24 08:59:01
A00004OPH|8003H000000NZXYAAG,COMPLETED,2022-11-17 18:13:06+00:00,,,
A00006VC2|8003H000000OI3EAAC,COMPLETED,2023-02-12 12:15:27+00:00,,Encerrado,2023-02-13 13:46:36
2478324|OI#00416562,COMPLETED,2022-12-15 11:20:41+00:00,,,
2586652|OI#00450857,CANCELLED,2023-01-04 18:18:01+00:00,CLIENTE,,
A000072LA|8003H000000OMVLAAS||00518613,COMPLETED,2023-02-17 13:58:58+00:00,,Encerrado,2023-02-20 09:53:38
A000076CO|EQ0000000015193||OS15193-1,COMPLETED,2023-02-22 13:50:44+00:00,,Encerrado,2023-02-23 16:21:21
A000077IO|EQ0000000015477||OS15477-1,COMPLETED,2023-02-23 14:29:46+00:00,,Encerrado,2023-02-24 14:24:45
A0000679V|8003H000000OORZAA4,CANCELLED,2023-01-18 21:43:37+00:00,CLIENTE,,
A0000716J|8003H000000OLN1AAC,COMPLETED,2023-02-16 10:28:23+00:00,,Encerrado,2023-02-17 15:22:31
A00004IF3|8003H000000NB4RAAG,COMPLETED,2022-10-17 15:42:28+00:00,TECNICA,,
A00006ZFB|8003H000000OVROAA4,CANCELLED,2023-01-27 15:50:43+00:00,CLIENTE,Em Tramitação,2023-01-30 09:32:36
A000079EN|8003H000000OSUBAA0||00528456,COMPLETED,2023-02-25 11:34:05+00:00,,Encerrado,2023-02-27 09:34:12
2283990|OI#00338278,COMPLETED,2022-12-20 08:47:31+00:00,,,
A0000783P|8003H000000OQCJAAK||00523692,COMPLETED,2023-02-22 18:46:22+00:00,,Encerrado,2023-02-24 20:15:17
A00002TY6|3419160519,COMPLETED,2022-08-27 14:51:53+00:00,,,
A00006ZDS|8003H000000OJLNAAS,COMPLETED,2023-02-14 11:08:53+00:00,,Encerrado,2023-02-16 10:47:54
A00006YSO|512745,COMPLETED,2023-02-14 11:07:12+00:00,,Encerrado,2023-02-15 17:30:14
A00006ZR1|25221951,COMPLETED,2023-02-15 10:32:51+00:00,,Encerrado,2023-02-16 13:54:50
A000074B5|2533||89578143472,COMPLETED,2023-02-20 20:51:39+00:00,,Encerrado,2023-02-22 11:15:52
A00006W6M|8003H000000OCD2AAC,CANCELLED,2023-02-10 07:54:52+00:00,CLIENTE,Em Tramitação,2023-02-14 08:27:28
A00005FU7|TESTE13PARCIAL,COMPLETED,2022-12-20 10:05:36+00:00,,,
1559390|OI#00415615,COMPLETED,2022-12-15 11:15:55+00:00,,,
A000073RE|2324||21515049934,COMPLETED,2023-02-05 19:01:52+00:00,CLIENTE,Encerrado,2023-02-21 15:26:49
A000077Q6|8003H000000OJLTAAK||00512285,COMPLETED,2023-02-13 19:28:43+00:00,,Encerrado,2023-02-14 11:29:37
A000076YV|8003H000000OIOVAAC||00511479,COMPLETED,2023-02-13 13:40:02+00:00,TECNICA,Encerrado,2023-02-24 09:37:46
2479744|OI#00417101,COMPLETED,2022-12-15 10:15:29+00:00,,,
A0000765E|8003H000000OKQOAAS||00514649,COMPLETED,2023-02-17 13:46:43+00:00,,Encerrado,2023-02-23 14:46:22
A00007720|8003H000000OQOIAAC||00525508,COMPLETED,2023-02-23 14:07:58+00:00,,Encerrado,2023-02-24 10:19:39
A000075LQ|8003H000000ONTVAAS||00520172,CANCELLED,2023-02-19 10:36:31+00:00,CLIENTE,Em Tramitação,2023-02-23 10:44:48
A00005QKO|8003H000000O3BHAAS,ABORTED,2022-12-25 15:11:56+00:00,CLIENTE,,
A00005RDK|8003H000000O8YQAAS,CANCELLED,2023-01-02 14:49:25+00:00,CLIENTE,,
A00003YF7|8003H000000MBZNAAY,COMPLETED,2022-10-14 21:21:47+00:00,,,
A00006WL2|EQ0000000013861,COMPLETED,2023-02-13 14:04:15+00:00,,Encerrado,2023-02-14 11:47:48
A00004AAL|8003H000000NLMQAAW,COMPLETED,2022-10-31 10:57:26+00:00,,,
A0000789U|EQ0000000015721||OS15721-1,COMPLETED,2023-02-24 14:27:53+00:00,,Encerrado,2023-02-25 09:50:41
A000078WX|8003H000000OO8GAAC||00520590,COMPLETED,2023-02-23 10:24:49+00:00,,Encerrado,2023-02-25 20:44:06
A000072VH|8003H000000OLBAAAS||00515757,CANCELLED,2023-02-15 21:38:21+00:00,CLIENTE,Em Tramitação,2023-02-20 13:34:41
A000076EC|EQ0000000015234||OS15234-1,COMPLETED,2023-02-22 15:15:23+00:00,,Encerrado,2023-02-23 16:39:04
2493587|OI#00405735,ABORTED,2022-12-02 14:07:36+00:00,CLIENTE,,
A000076ZA|8003H000000OO6PAAS||00520498,COMPLETED,2023-02-19 19:55:50+00:00,CLIENTE,Encerrado,2023-02-24 09:42:57
A000077J7|8003H000000OQVYAAC||00525708,COMPLETED,2023-02-23 15:27:20+00:00,,Encerrado,2023-02-24 14:31:49
A000071EE|8003H000000OKFTAAW,CANCELLED,2023-01-14 15:32:42+00:00,CLIENTE,,
A000052XB|8003H000000NNC1AAC,COMPLETED,2022-12-05 16:59:10+00:00,,,
A000066D1|8003H000000OLDZAA4,CANCELLED,2023-01-16 00:17:48+00:00,CLIENTE,,
A00005DJ3|8003H000000NXQKAAC,COMPLETED,2022-12-16 23:30:57+00:00,,,
A000077LI|8003H000000ONQQAAC||00520096,COMPLETED,2023-02-19 07:48:14+00:00,,Encerrado,2023-02-24 14:58:26
A000078AI|8003H000000OS7HAAC||00527903,COMPLETED,2023-02-24 18:50:41+00:00,,Encerrado,2023-02-25 10:05:03
A0000784C|8003H000000OQDBAAS||00525088,COMPLETED,2023-02-23 11:33:51+00:00,,Encerrado,2023-02-24 20:45:57
A000076XH|8003H000000ONAFAAK||00519050,COMPLETED,2023-02-23 20:39:23+00:00,,Encerrado,2023-02-24 09:20:52
A000073S1|0404AXXEL||72552,COMPLETED,2023-02-17 11:05:59+00:00,,Encerrado,2023-02-21 15:40:48
2544260|OI#00434517,COMPLETED,2022-12-27 10:13:30+00:00,,,
A00005UL3|8003H000000ODYSAA4,COMPLETED,2023-01-07 00:19:34+00:00,,,
A00005P3D|8003H000000O7KXAAS,COMPLETED,2022-12-30 14:16:10+00:00,,,
A000061F0|8003H000000NSOKAAS,COMPLETED,2022-12-16 10:06:48+00:00,TECNICA,,
A00006XTX|8003H000000OIHKAAS,COMPLETED,2023-02-13 12:02:21+00:00,,Encerrado,2023-02-15 10:06:08
A0000781B|8003H000000OPBXAAC||00522771,COMPLETED,2023-02-22 10:32:44+00:00,,Encerrado,2023-02-24 19:07:12
A000078H4|8003H000000OQHSAAS||00525304,COMPLETED,2023-02-23 12:30:05+00:00,,Encerrado,2023-02-25 12:08:31
A00007883|EQ0000000015781||OS15781-1,COMPLETED,2023-02-24 17:19:34+00:00,,Encerrado,2023-02-25 09:06:15
A000061L4|8003H000000OF92AAG,COMPLETED,2023-01-11 18:55:55+00:00,CLIENTE,,
A00005V5M|8003H000000NTEXAA0,COMPLETED,2022-12-12 14:00:21+00:00,TECNICA,,
A00006VIO|8003H000000ODMYAAC,COMPLETED,2023-02-07 11:19:53+00:00,,Encerrado,2023-02-13 15:05:33
A00003YLT|4085,COMPLETED,2022-10-18 10:46:35+00:00,,,
A000079FN|8003H000000OSLCAAC||00528823,COMPLETED,2023-02-25 16:26:52+00:00,,Encerrado,2023-02-27 09:46:13
A000077C7|0407AXXEL||74449,COMPLETED,2023-02-23 11:44:20+00:00,,Encerrado,2023-02-24 12:31:59
A0000763B|8003H000000OMGVAAS||00518291,COMPLETED,2023-02-17 10:47:32+00:00,,Encerrado,2023-02-23 14:23:37
A00005UKS|8003H000000ODGEAA4,COMPLETED,2023-01-06 17:02:43+00:00,,,
A00003F3Y|48689,COMPLETED,2022-09-13 11:22:54+00:00,TECNICA,,
A00001T4P|36584869,COMPLETED,2022-06-14 15:20:41+00:00,,,
A00003BYM|50399,COMPLETED,2022-09-19 18:50:25+00:00,,,
A00002WKB|3730970009,COMPLETED,2022-09-01 16:46:01+00:00,,,
A00002CSR|1383525741,COMPLETED,2022-08-01 20:16:44+00:00,,,
A00003CVS|55719,COMPLETED,2022-09-22 13:26:50+00:00,,,
A000065P1|137292,COMPLETED,2023-01-17 11:58:59+00:00,,,
A00004UIB|202211251075202,COMPLETED,2022-11-25 14:29:36+00:00,,,
A00002ILR|EQ0000000001085,COMPLETED,2022-08-09 09:51:04+00:00,,,
A00004PU0|41907,COMPLETED,2022-09-05 15:06:57+00:00,,,
A00004YY2|349566271,COMPLETED,2022-11-30 17:25:57+00:00,,,
A00002EEL|1411526089,COMPLETED,2022-08-02 12:08:25+00:00,,,
A000029BP|1035219602,COMPLETED,2022-07-25 17:02:27+00:00,,,
A00003FFT|4546587228,COMPLETED,2022-09-21 18:47:03+00:00,,,
A000038II|51003,COMPLETED,2022-09-15 16:24:57+00:00,,,
A000021YO|8003H000000LOSWAA2,COMPLETED,2022-06-26 19:52:47+00:00,TECNICA,,
A000045RU|8003H000000NBKTAAW,COMPLETED,2022-10-18 10:48:12+00:00,CLIENTE,,
A00004L72|22990§302080,COMPLETED,2022-11-16 11:05:51+00:00,,,
